"name","class_id"
"belimumab",7619
"belinostat",7556
"belotecan",NULL
"belumosudil",NULL
"belzutifan",NULL
"bemegride",5958
"bemetizide",6495
"bemiparin",7520
"bemotrizinol",NULL
"bempedoic acid",NULL
"benactyzine",5767
"benazepril",NULL
"bencyclane",6895
"bendamustine",7026
"bendamustine",7709
"bendamustine",7707
"bendazac",4331
"bendazol",6763
"bendroflumethiazide",NULL
"benexate",4190
"benfluorex",4530
"benfotiamine",6825
"benidipine",5465
"benmoxin",4895
"benorilate",6384
"benoxaprofen",4779
"benperidol",5692
"benproperine",NULL
"benralizumab",NULL
"benserazide",5832
"bentazepam",7715
"bentazepam",4571
"bentazepam",7709
"bentiromide",5379
"bentoquatam",7737
"benzalamide",6590
"benzalkonium",6860
"benzamidosalicylate",4281
"benzamycin",5265
"benzarone",5234
"benzathine benzylpenicillin",4213
"benzathine phenoxymethylpenicillin",7735
"benzathine phenoxymethylpenicillin",7709
"benzathine phenoxymethylpenicillin",7196
"benzathine phenoxymethylpenicillin",7737
"benzathine phenoxymethylpenicillin",7710
"benzatropine",6885
"benzbromarone",NULL
"benzestrol",6565
"benzethonium",5247
"benzilonium",5425
"benziodarone",4796
"benznidazole",4052
"benznidazole",7709
"benzocaine",6697
"benzoctamine",4651
"benzoic acid",7358
"benzoin",7357
"benzomethamine",6297
"benzonatate",NULL
"benzoxonium chloride",NULL
"benzoyl peroxide",5373
"benzphetamine",5938
"benzpiperylone",5895
"benzquercin",NULL
"benzquinamide",6400
"benzthiazide",7127
"benzydamine",NULL
"benzyl alcohol",7094
"benzyl benzoate",5786
"benzyl nicotinate",5807
"benzylhydrochlorothiazide",NULL
"benzylpenicillin",NULL
"benzylpenicilloyl polylysine",7398
"benzylsulfamide",5096
"benzylthiouracil",4785
"bephenium",4265
"bephenium",7741
"bepotastine",5530
"bepridil",5800
"beractant",NULL
"beraprost",7715
"beraprost",6290
"bergapten",7709
"bergapten",7711
"bergapten",7755
"bergapten",5521
"bergapten",7756
"bermoprofen",4780
"berotralstat",NULL
"besifloxacin",5710
"besilesomab",7753
"beta-aminopropionitrile",NULL
"beta-Ergocryptine",NULL
"betacarotene",4130
"betadex",NULL
"betahistine",NULL
"betaine",NULL
"betamethasone",NULL
"betamethasone acetate",6910
"betamethasone acibutate",5184
"betamethasone benzoate",4892
"betamethasone butyrate propionate",NULL
"betamethasone dipropionate",NULL
"betamethasone phosphate",7361
"betamethasone valerate",6093
"betamipron",7079
"betanaphthol",6646
"betanidine",6758
"betaxolol",NULL
"betazole",NULL
"bethanechol",4865
"betiatide",7360
"betoxycaine",6516
"betrixaban",NULL
"bevacizumab",7630
"bevantolol",7739
"bevantolol",7737
"bevantolol",6397
"bevonium",4698
"bexarotene",5356
"bezafibrate",4632
"bezitramide",5815
"bezlotoxumab",NULL
"bialamicol",NULL
"biapenem",4446
"bibenzonium",5463
"bibrocathol",NULL
"bicalutamide",NULL
"bictegravir",NULL
"bidisomide",5940
"bietamiverine",6812
"bietaserpine",6902
"bifemelane",6084
"bifluranol",7735
"bifluranol",7710
"bifluranol",6956
"bifluranol",7709
"bifonazole",6793
"bilastine",NULL
"bimatoprost",NULL
"bimekizumab",NULL
"binifibrate",NULL
"binimetinib",NULL
"bioallethrin",NULL
"biotin",4300
"biperiden",7709
"biperiden",4864
"biperiden",7711
"biperiden",7715
"biphenylol",7737
"biphenylol",7756
"biphenylol",7709
"biphenylol",7754
"biphenylol",7441
"biphenylol",7735
"biriperone",4108
"bisacodyl",6186
"bisantrene",NULL
"bisaramil",6325
"bisbentiamine",4126
"bisdequalinium chloride",NULL
"bismuth camphocarbonate",5885
"bismuth subcarbonate",NULL
"bismuth subcitrate",NULL
"bismuth subgallate",NULL
"bismuth subnitrate",7522
"bismuth subsalicylate",4055
"bisoctrizole",5365
"bisoprolol",4002
"bisorcic",4423
"bisoxatin",NULL
"bisoxatin acetate",NULL
"bisulepine",NULL
"bithionol",5907
"bithionol",7753
"bithionol",7717
"bitolterol",4591
"bitoscanate",6597
"bitoscanate",7709
"bivalirudin",6803
"bleomycin",7418
"blinatumomab",7584
"blonanserin",7032
"boceprevir",NULL
"bolandiol dipropionate",4995
"boldenone undecylenate",NULL
"bopindolol",6335
"boric acid",NULL
"bornaprine",NULL
"borofalan (10B)",NULL
"bortezomib",4349
"bosentan",6228
"bosutinib",NULL
"botulinum toxin type A",NULL
"brallobarbital",7717
"brallobarbital",4820
"brallobarbital",7734
"bremelanotide",NULL
"brentuximab vedotin",7626
"bretylium",5400
"brexanolone",NULL
"brexpiprazole",7668
"brigatinib",NULL
"brilliant Blue G",NULL
"brilliant green",7359
"brimonidine",5277
"brinzolamide",4786
"brivaracetam",7688
"brivudine",4629
"brodalumab",NULL
"brodimoprim",6225
"brolucizumab",NULL
"bromazepam",6425
"bromazine",5461
"bromazine",7709
"bromebric acid",5643
"bromfenac",4287
"bromhexine",NULL
"bromindione",4186
"bromisoval",4831
"bromochlorosalicylanilide",5619
"bromocriptine",NULL
"bromoform",7741
"bromoform",4415
"bromopride",5213
"bromperidol",NULL
"brompheniramine",4157
"bropirimine",4744
"brotizolam",5884
"brovanexine",4275
"brovincamine",NULL
"broxuridine",4539
"broxyquinoline",5819
"bucetin",5570
"bucetin",7754
"bucetin",7709
"bucetin",7717
"bucetin",7747
"bucillamine",7735
"bucillamine",6969
"bucillamine",7755
"bucillamine",7709
"bucillamine",7710
"bucladesine",5525
"buclizine",NULL
"buclosamide",5630
"bucloxic acid",4021
"bucolome",4166
"bucricaine",5790
"bucumolol",6191
"budesonide",7070
"budipine",5395
"budralazine",7742
"budralazine",4028
"bufeniode",5632
"bufetolol",NULL
"bufexamac",7713
"bufexamac",7755
"bufexamac",7737
"bufexamac",5645
"buflomedil",4585
"bufogenin",4750
"buformin",NULL
"bufuralol",6292
"bufylline",7179
"bulaquine",5866
"bulevirtide",NULL
"bumadizone",6856
"bumetanide",NULL
"bunaftine",6410
"bunamidine",NULL
"bunamiodyl",NULL
"bunazosin",5874
"bunitrolol",6421
"buphenine",5410
"bupivacaine",6898
"bupranolol",7715
"bupranolol",4967
"bupranolol",7709
"buprenorphine",NULL
"bupropion",4542
"buramate",5181
"burosumab",NULL
"buserelin",NULL
"buspirone",7724
"buspirone",4294
"busulfan",5975
"butacaine",NULL
"butacetin",6901
"butalamine",7739
"butalamine",7709
"butalamine",7720
"butalamine",5494
"butalbital",5962
"butamben",4677
"butamirate",4834
"butamisole",NULL
"butanilicaine",6658
"butaperazine",NULL
"butaverine",6837
"butazolamide",NULL
"butazopyridine",5639
"butedronic acid",5075
"butenafine",4747
"butetamate",4292
"butethamine",5114
"buthalital",4933
"buthalital",7711
"butibufen",6369
"butidrine",7735
"butidrine",6725
"butinoline",5844
"butizide",5101
"butobarbital",6271
"butobendine",7036
"butoconazole",5864
"butoctamide",NULL
"butofilolol",4460
"butorphanol",5889
"butoxycaine",7720
"butoxycaine",7709
"butoxycaine",4595
"butoxycaine",7723
"butriptyline",4756
"butropium",4793
"butylphthalide",NULL
"buzepide metiodide",4471
"cabazitaxel",NULL
"cabergoline",NULL
"cabotegravir",NULL
"cabozantinib",7396
"cacodylic acid",NULL
"cadralazine",4917
"cafaminol",5701
"cafedrine",7726
"cafedrine",6533
"cafedrine",7739
"caffeine",4464
"calaspargase pegol",NULL
"calcifediol",7749
"calcifediol",7717
"calcifediol",5194
"calcifediol",7711
"calcipotriene",5339
"calcitonin (pork natural)",NULL
"calcitonin (salmon synthetic)",4579
"calcitonin human",7709
"calcitonin human",7180
"calcitriol",NULL
"calcium acetate",NULL
"calcium acetate and magnesium carbonate",7181
"calcium alginate",7182
"calcium carbimide",7183
"calcium carbimide",7737
"calcium carbonate",6445
"calcium chloride",NULL
"calcium citrate",7151
"calcium dobesilate",5182
"calcium glubionate",7523
"calcium glucoheptonate",7188
"calcium gluconate",NULL
"calcium glycerylphosphate",7189
"calcium hydrogen phosphate dihydrate",7204
"calcium iodobehenate",NULL
"calcium lactate",7737
"calcium lactate",7709
"calcium lactate",6522
"calcium lactate gluconate",7524
"calcium levulinate",7525
"calcium pangamate",7754
"calcium pangamate",7735
"calcium pangamate",7756
"calcium pangamate",6813
"calcium pangamate",7709
"calcium pantothenate",6041
"calcium phosphate",7738
"calcium phosphate",7197
"calcium phosphate",7735
"calcium phosphate",7737
"calcium phosphate",7709
"calcium phosphate",7710
"calcium polystyrene sulfonate",7550
"calcium silicate",NULL
"calcium threonate",7737
"calcium threonate",7210
"caldiamide",NULL
"calfactant",7735
"calfactant",3905
"calusterone",NULL
"camazepam",5009
"cambendazole",NULL
"camostat",4531
"camphor",NULL
"camphotamide",4494
"camylofin",6370
"camylofin",7709
"canagliflozin",7431
"canakinumab",7622
"candesartan cilexetil",6539
"candicidin",NULL
"canfosfamide",NULL
"cangrelor",3885
"cannabidiol",NULL
"canrenone",5856
"capecitabine",4896
"caplacizumab",NULL
"capmatinib",NULL
"capobenic acid",6392
"capreomycin",NULL
"capromorelin",NULL
"capsaicin",5927
"captodiame",4905
"captopril",NULL
"capuride",5661
"caramiphen",6993
"carazolol",5675
"carbachol",NULL
"carbadox",NULL
"carbaldrate",7226
"carbamazepine",4515
"carbamide",NULL
"carbamide peroxide",7201
"carbarsone",5582
"carbaryl",5269
"carbasalate calcium",5470
"carbasalate calcium",7737
"carbazochrome",NULL
"carbenicillin",5825
"carbenin",6052
"carbenoxolone",4088
"carbetocin",4717
"carbidopa",6621
"carbifene",7119
"carbimazole",4644
"carbinoxamine",7740
"carbinoxamine",4540
"carbocisteine",NULL
"carbocloral",6548
"carbocloral",7721
"carbocloral",7710
"carbocloral",7718
"carbocloral",7712
"carbocloral",7709
"carbocromen",4037
"carbocysteine-lysine",4828
"carbomycin",NULL
"carbon dioxide",NULL
"carbon tetrachloride",NULL
"carboplatin",6473
"carboprost",6850
"carboquone",4426
"carbromal",6814
"carbubarb",5687
"carbutamide",5324
"carbuterol",6544
"carfecillin",5547
"carfenazine",NULL
"carfilzomib",7186
"carfimate",NULL
"carglumic acid",5199
"cargutocin",5748
"carindacillin",5239
"cariprazine",3867
"carisbamate",NULL
"carisoprodol",6204
"carmofur",6089
"carmustine",4175
"carnidazole",NULL
"caroverine",NULL
"caroxazone",5168
"carperitide",NULL
"carpipramine",5991
"carprofen",4447
"carpronium",5036
"carsalam",NULL
"carteolol",NULL
"carubicin",4086
"carumonam",NULL
"carvedilol",7746
"carvedilol",7709
"carvedilol",7711
"carvedilol",4980
"casimersen",NULL
"casirivimab",NULL
"casopitant",NULL
"caspofungin",5205
"castor oil",NULL
"cathine",NULL
"catridecacog",NULL
"cefacetrile",4270
"cefaclor",7035
"cefadroxil",NULL
"cefalexin",6558
"cefalexin pivoxil",5603
"cefaloglycin",5355
"cefaloridine",NULL
"cefalotin",5775
"cefamandole",NULL
"cefamandole nafate",3943
"cefapirin",NULL
"cefathiamidine",NULL
"cefatrizine",4992
"cefazedone",5472
"cefazolin",6468
"cefbuperazone",NULL
"cefcapene",NULL
"cefcapene pivoxil",5552
"cefdinir",4139
"cefditoren pivoxil",4448
"cefepime",6556
"cefetamet",6649
"cefetamet pivoxil",4050
"cefiderocol",NULL
"cefixime",NULL
"cefmenoxime",4659
"cefmetazole",3865
"cefminox",4062
"cefodizime",6953
"cefodizime",7710
"cefonicid",6427
"cefoperazone",NULL
"ceforanide",4393
"cefoselis",NULL
"cefotaxime",NULL
"cefotetan",NULL
"cefotiam",4131
"cefotiam hexetil",6916
"cefovecin",NULL
"cefoxitin",7087
"cefozopran",NULL
"cefpimizole",NULL
"cefpiramide",6254
"cefpirome",3982
"cefpodoxime proxetil",4391
"cefprozil",5483
"cefradine",NULL
"cefroxadine",6519
"cefsulodin",6843
"ceftaroline fosamil",NULL
"ceftazidime",6007
"cefteram",3942
"cefteram pivoxil",NULL
"ceftezole",4477
"ceftibuten",NULL
"ceftiofur",NULL
"ceftizoxime",6501
"ceftizoxime",7709
"ceftobiprole medocaril",NULL
"ceftolozane",7591
"ceftriaxone",4161
"cefuroxime",NULL
"cefuroxime axetil",NULL
"cefuroxime pivoxetil",NULL
"cefuzonam",NULL
"celecoxib",6761
"celiprolol",NULL
"cemiplimab",NULL
"cenegermin",NULL
"cenobamate",NULL
"cepharanthine",NULL
"ceritinib",NULL
"cerium oxalate",NULL
"cerivastatin",6612
"cerliponase alfa",NULL
"certolizumab pegol",7638
"certolizumab pegol",7755
"cerulenin",NULL
"ceruletide",NULL
"cetalkonium chloride",5887
"cetalkonium chloride",7726
"cetamolol",7711
"cetamolol",7715
"cetamolol",4235
"cetamolol",7713
"cethexonium",4859
"cetiedil",5674
"cetilistat",3907
"cetirizine",5509
"cetotiamine",NULL
"cetoxime",5835
"cetraxate",NULL
"cetrimide",5038
"cetrimonium",6635
"cetrorelix",6792
"cetuximab",7624
"cetyl alcohol",7425
"cetylpyridinium",NULL
"cevimeline",NULL
"chenodiol",NULL
"chiniofon",NULL
"chloral hydrate",6582
"chloralodol",5450
"chloralose",6911
"chlorambucil",NULL
"chloramphenicol",4607
"chloramphenicol palmitate",NULL
"chloramphenicol succinate",7347
"chlorazanil",NULL
"chlorbenzoxamine",6323
"chlorbetamide",4520
"chlorcyclizine",6098
"chlordiazepoxide",NULL
"chlorfenethazine",NULL
"chlorhexidine",5424
"chlorisondamine",NULL
"chlormadinone",6183
"chlormerodrin",7579
"chlormerodrin",7709
"chlormerodrin",7712
"chlormezanone",6826
"chlormidazole",6402
"chlornaphazine",7737
"chlornaphazine",6720
"chlornaphazine",7739
"chlorobutanol",4824
"chloroform",NULL
"chloroprednisone",4946
"chloroprocaine",6056
"chloropyramine",6873
"chloropyrilene",7755
"chloropyrilene",5924
"chloroquine",4958
"chlorothiazide",4589
"chlorotrianisene",5092
"chlorotrianisene",7736
"chloroxine",5136
"chloroxylenol",6189
"chlorozotocin",7737
"chlorozotocin",5070
"chlorphenamine",6882
"chlorphenesin carbamate",4433
"chlorphenoxamine",4262
"chlorphentermine",6978
"chlorproethazine",6563
"chlorproguanil",5449
"chlorpromazine",6918
"chlorpropamide",NULL
"chlorprothixene",4953
"chlorquinaldol",6185
"chlortalidone",7717
"chlortalidone",7720
"chlortalidone",7707
"chlortalidone",7722
"chlortalidone",4724
"chlortalidone",7736
"chlortalidone",7725
"chlortalidone",7728
"chlortalidone",7719
"chlortetracycline",NULL
"chlorthenoxazine",6832
"chlorzoxazone",6571
"cholestyramine",5704
"cholic acid",7709
"cholic acid",6984
"choline",5083
"choline alfoscerate",7750
"choline alfoscerate",5292
"Choline C-11",7328
"choline dehydrocholate",6730
"choline fenofibrate",3921
"choline magnesium trisalicylate",7356
"choline theophyllinate",6645
"chondroitin sulfate",6883
"chondroitin sulfate-iron complex",7755
"chondroitin sulfate-iron complex",7709
"chondroitin sulfate-iron complex",6795
"chondroitin sulfate-iron complex",7737
"choriogonadotropin alfa",NULL
"chorionic gonadotrophin",NULL
"chromic chloride",NULL
"chromium (51Cr) edetate",7526
"chromium picolinate",7216
"chromocarb",6448
"chymopapain",NULL
"chymotrypsin",3866
"chymotrypsin",7709
"chymotrypsin",7715
"cianidanol",5658
"cibenzoline",6380
"cicaprost",6870
"ciclesonide",5302
"cicletanine",4370
"ciclobendazole",6124
"ciclonicate",5028
"ciclonium",5229
"ciclopirox",6664
"cicloprolol",NULL
"ciclosidomine",4379
"ciclosporin",NULL
"cicrotoic acid",6097
"cideferron",4183
"cidofovir",4081
"cilastatin",7709
"cilastatin",6630
"cilazapril",NULL
"cilnidipine",4255
"cilostazol",6137
"cilostazol",7709
"cimetidine",6214
"cimetropium",7737
"cimetropium",6987
"cinacalcet",5865
"cinalukast",4399
"cinametic acid",NULL
"cinchocaine",NULL
"cinchophen",5287
"cineole",5520
"cinepazet",5503
"cinepazide",NULL
"cinitapride",5665
"cinmetacin",5139
"cinnamaverine",4116
"cinnarizine",6968
"cinnoxicam",NULL
"cinolazepam",6757
"cinoxacin",5282
"cinromide",6595
"cioteronel",5883
"ciprofibrate",4741
"ciprofloxacin",5159
"ciramadol",6496
"ciramadol",7754
"cisapride",5242
"cisatracurium",NULL
"cisplatin",7156
"citalopram",7715
"citalopram",5433
"citicoline",NULL
"citiolone",NULL
"citric acid",4696
"citrulline",5817
"cladribine",4374
"clanobutin",4145
"clarithromycin",NULL
"clascoterone",NULL
"clavulanic acid",NULL
"clazosentan",NULL
"clebopride",6691
"clefamide",NULL
"clemastine",6481
"clemizole",5429
"clenbuterol",6045
"clevidipine",5519
"clevudine",7157
"clidanac",NULL
"clidinium",7711
"clidinium",7735
"clidinium",7715
"clidinium",4801
"climbazole",7684
"clinafloxacin",NULL
"clindamycin",7048
"clindamycin palmitate",4250
"clindamycin phosphate",NULL
"clinofibrate",4916
"clioquinol",4608
"clobazam",6431
"clobenoside",6897
"clobenzepam",5602
"clobenzorex",6155
"clobenztropine",NULL
"clobetasol propionate",7735
"clobetasol propionate",7754
"clobetasol propionate",7209
"clobetasol propionate",7737
