"class_name1","class_id1","class_name2","class_id2","ddi_risk","description"
"atomoxetine",4763,"linezolid",5690,"Critical","ATOMOXETINE HCL/LINEZOLID [VA Drug Interaction]"
"atomoxetine",4763,"bupropion",4617,"Significant","ATOMOXETINE HCL/BUPROPION [VA Drug Interaction]"
"atomoxetine",4763,"cinacalcet",5886,"Significant","ATOMOXETINE HCL/CINACALCET [VA Drug Interaction]"
"sevelamer",7269,"levothyroxine sodium",6980,"Significant","LEVOTHYROXINE SODIUM/SEVELAMER HCL [VA Drug Interaction]"
"sevelamer",7269,"liothyronine",6925,"Significant","LIOTHYRONINE SODIUM/SEVELAMER HCL [VA Drug Interaction]"
"atomoxetine",4763,"terbinafine",5160,"Significant","ATOMOXETINE HCL/TERBINAFINE HYDROCHLORIDE [VA Drug Interaction]"
"stavudine",4487,"zidovudine",4880,"Significant","STAVUDINE (d4T)/ZIDOVUDINE [VA Drug Interaction]"
"lansoprazole",5995,"zalcitabine",4399,"Significant","LANSOPRAZOLE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]"
"omeprazole",5776,"zalcitabine",4399,"Significant","OMEPRAZOLE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]"
"rabeprazole",5907,"zalcitabine",4399,"Significant","RABEPRAZOLE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]"
"ranitidine",5457,"zalcitabine",4399,"Significant","RANITIDINE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]"
"famotidine",5696,"zalcitabine",4399,"Significant","FAMOTIDINE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]"
"calcium carbonate",3919,"zalcitabine",4399,"Significant","CALCIUM CARBONATE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]"
"aluminum carbonate",7443,"zalcitabine",4399,"Significant","ALUMINUM CARBONATE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]"
"sucralfate",7046,"zalcitabine",4399,"Significant","SUCRALFATE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]"
"algeldrate",7218,"zalcitabine",4399,"Significant","ALUMINUM HYDROXIDE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]"
"magnesium oxide",7244,"zalcitabine",4399,"Significant","MAGNESIUM OXIDE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]"
"magnesium carbonate",7241,"zalcitabine",4399,"Significant","MAGNESIUM CARBONATE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]"
"pantoprazole",6108,"zalcitabine",4399,"Significant","PANTOPRAZOLE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]"
"lamivudine",4528,"zalcitabine",4399,"Significant","LAMIVUDINE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]"
"estropipate",7697,"phenobarbital",4548,"Critical","ESTROPIPATE/PHENOBARBITAL [VA Drug Interaction]"
"carbamazepine",4584,"estropipate",7697,"Critical","CARBAMAZEPINE/ESTROPIPATE [VA Drug Interaction]"
"estropipate",7697,"phenytoin",4724,"Significant","ESTROPIPATE/PHENYTOIN [VA Drug Interaction]"
"estropipate",7697,"fosphenytoin",5932,"Significant","ESTROPIPATE/FOSPHENYTOIN SODIUM [VA Drug Interaction]"
"cimetidine",4726,"zalcitabine",4399,"Significant","CIMETIDINE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]"
"estropipate",7697,"lamotrigine",4769,"Significant","ESTROPIPATE/LAMOTRIGINE [VA Drug Interaction]"
"ritonavir",6961,"estropipate",7697,"Critical","ESTROPIPATE/RITONAVIR [VA Drug Interaction]"
"estropipate",7697,"letrozole",5068,"Critical","ESTROPIPATE/LETROZOLE [VA Drug Interaction]"
"ulipristal acetate",7190,"estropipate",7697,"Significant","ESTROPIPATE/ULIPRISTAL ACETATE [VA Drug Interaction]"
"clobazam",5281,"estropipate",7697,"Significant","CLOBAZAM/ESTROPIPATE [VA Drug Interaction]"
"cobicistat",7248,"estropipate",7697,"Significant","COBICISTAT/ESTROPIPATE [VA Drug Interaction]"
"estropipate",7697,"atazanavir",6955,"Significant","ATAZANAVIR/ESTROPIPATE [VA Drug Interaction]"
"estropipate",7697,"darunavir",7167,"Significant","DARUNAVIR/ESTROPIPATE [VA Drug Interaction]"
"estropipate",7697,"fosamprenavir",6859,"Significant","ESTROPIPATE/FOSAMPRENAVIR [VA Drug Interaction]"
"estropipate",7697,"nelfinavir",6830,"Significant","ESTROPIPATE/NELFINAVIR MESYLATE [VA Drug Interaction]"
"estropipate",7697,"saquinavir",6942,"Significant","ESTROPIPATE/SAQUINAVIR [VA Drug Interaction]"
"estropipate",7697,"tipranavir",6877,"Significant","ESTROPIPATE/TIPRANAVIR [VA Drug Interaction]"
"amprenavir",6729,"estropipate",7697,"Significant","AMPRENAVIR/ESTROPIPATE [VA Drug Interaction]"
"dabrafenib",7664,"estropipate",7697,"Significant","DABRAFENIB/ESTROPIPATE [VA Drug Interaction]"
"mibefradil",6707,"terfenadine",6619,"Critical","MIBEFRADIL DIHYDROCHLORIDE/TERFENADINE [VA Drug Interaction]"
"crizotinib",3938,"mibefradil",6707,"Significant","CRIZOTINIB/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction]"
"dasatinib",6681,"mibefradil",6707,"Significant","DASATINIB/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction]"
"lapatinib",6849,"mibefradil",6707,"Significant","LAPATINIB/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction]"
"nilotinib",6782,"mibefradil",6707,"Significant","MIBEFRADIL DIHYDROCHLORIDE/NILOTINIB [VA Drug Interaction]"
"pazopanib",6474,"mibefradil",6707,"Significant","MIBEFRADIL DIHYDROCHLORIDE/PAZOPANIB [VA Drug Interaction]"
"sunitinib",6221,"mibefradil",6707,"Significant","MIBEFRADIL DIHYDROCHLORIDE/SUNITINIB [VA Drug Interaction]"
"trazodone",6022,"mibefradil",6707,"Significant","MIBEFRADIL DIHYDROCHLORIDE/TRAZODONE [VA Drug Interaction]"
"ruxolitinib",7128,"mibefradil",6707,"Significant","MIBEFRADIL DIHYDROCHLORIDE/RUXOLITINIB [VA Drug Interaction]"
"maraviroc",6745,"mibefradil",6707,"Significant","MARAVIROC/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction]"
"romidepsin",6795,"mibefradil",6707,"Significant","MIBEFRADIL DIHYDROCHLORIDE/ROMIDEPSIN [VA Drug Interaction]"
"ixabepilone",6732,"mibefradil",6707,"Significant","IXABEPILONE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction]"
"axitinib",3935,"mibefradil",6707,"Significant","AXITINIB/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction]"
"eplerenone",6337,"mibefradil",6707,"Critical","EPLERENONE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction]"
"saxagliptin",5470,"mibefradil",6707,"Critical","MIBEFRADIL DIHYDROCHLORIDE/SAXAGLIPTIN [VA Drug Interaction]"
"dronedarone",6813,"mibefradil",6707,"Critical","DRONEDARONE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction]"
"darifenacin",6409,"mibefradil",6707,"Significant","DARIFENACIN/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction]"
"fesoterodine",7129,"mibefradil",6707,"Significant","FESOTERODINE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction]"
"solifenacin",5937,"mibefradil",6707,"Significant","MIBEFRADIL DIHYDROCHLORIDE/SOLIFENACIN SUCCINATE [VA Drug Interaction]"
"tolterodine",5585,"mibefradil",6707,"Significant","MIBEFRADIL DIHYDROCHLORIDE/TOLTERODINE TARTRATE [VA Drug Interaction]"
"conivaptan",6386,"mibefradil",6707,"Critical","CONIVAPTAN/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction]"
"tolvaptan",6522,"mibefradil",6707,"Critical","MIBEFRADIL DIHYDROCHLORIDE/TOLVAPTAN [VA Drug Interaction]"
"mibefradil",6707,"tamsulosin",6294,"Critical","MIBEFRADIL DIHYDROCHLORIDE/TAMSULOSIN HYDROCHLORIDE [VA Drug Interaction]"
"mibefradil",6707,"silodosin",7174,"Critical","MIBEFRADIL DIHYDROCHLORIDE/SILODOSIN [VA Drug Interaction]"
"mibefradil",6707,"alfuzosin",6165,"Critical","ALFUZOSIN/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction]"
"mifepristone",6433,"mibefradil",6707,"Significant","MIBEFRADIL DIHYDROCHLORIDE/MIFEPRISTONE [VA Drug Interaction]"
"colchicine",6230,"mibefradil",6707,"Significant","COLCHICINE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction]"
"fentanyl",5688,"mibefradil",6707,"Significant","FENTANYL/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction]"
"alfentanil",6361,"mibefradil",6707,"Significant","ALFENTANIL/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction]"
"oxycodone",5466,"mibefradil",6707,"Significant","MIBEFRADIL DIHYDROCHLORIDE/OXYCODONE [VA Drug Interaction]"
"bromocriptine",6930,"mibefradil",6707,"Critical","BROMOCRIPTINE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction]"
"cabergoline",6530,"mibefradil",6707,"Critical","CABERGOLINE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction]"
"methylergometrine",5717,"mibefradil",6707,"Critical","METHYLERGONOVINE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction]"
"methysergide",5841,"mibefradil",6707,"Critical","METHYSERGIDE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction]"
"pergolide",5461,"mibefradil",6707,"Critical","MIBEFRADIL DIHYDROCHLORIDE/PERGOLIDE [VA Drug Interaction]"
"bosutinib",7306,"mibefradil",6707,"Significant","BOSUTINIB/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction]"
"tofacitinib",7607,"mibefradil",6707,"Significant","MIBEFRADIL DIHYDROCHLORIDE/TOFACITINIB [VA Drug Interaction]"
"lomitapide",7618,"mibefradil",6707,"Critical","LOMITAPIDE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction]"
"ticagrelor",7208,"mibefradil",6707,"Critical","MIBEFRADIL DIHYDROCHLORIDE/TICAGRELOR [VA Drug Interaction]"
"cabozantinib",7609,"mibefradil",6707,"Significant","CABOZANTINIB/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction]"
"ponatinib",7610,"mibefradil",6707,"Significant","MIBEFRADIL DIHYDROCHLORIDE/PONATINIB [VA Drug Interaction]"
"bedaquiline",7638,"mibefradil",6707,"Significant","BEDAQUILINE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction]"
"dabrafenib",7664,"mibefradil",6707,"Significant","DABRAFENIB/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction]"
"aripiprazole",6520,"mibefradil",6707,"Significant","ARIPIPRAZOLE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction]"
"iloperidone",6406,"mibefradil",6707,"Significant","ILOPERIDONE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction]"
"cabazitaxel",7178,"mibefradil",6707,"Significant","CABAZITAXEL/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction]"
"docetaxel",6999,"mibefradil",6707,"Significant","DOCETAXEL/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction]"
"ibrutinib",3875,"mibefradil",6707,"Significant","IBRUTINIB/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction]"
"simeprevir",3877,"mibefradil",6707,"Significant","MIBEFRADIL DIHYDROCHLORIDE/SIMEPREVIR [VA Drug Interaction]"
"astemizole",6557,"mibefradil",6707,"Critical","ASTEMIZOLE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction]"
"cisapride",6588,"mibefradil",6707,"Critical","CISAPRIDE/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction]"
"pentaerithrityl tetranitrate",5480,"vardenafil",6685,"Critical","PENTAERYTHRITOL TETRANITRATE/VARDENAFIL [VA Drug Interaction]"
"riociguat",3872,"pentaerithrityl tetranitrate",5480,"Critical","PENTAERYTHRITOL TETRANITRATE/RIOCIGUAT [VA Drug Interaction]"
"pentaerithrityl tetranitrate",5480,"sildenafil",6628,"Critical","PENTAERYTHRITOL TETRANITRATE/SILDENAFIL CITRATE [VA Drug Interaction]"
"dexfenfluramine",4542,"tranylcypromine",4023,"Significant","DEXFENFLURAMINE HYDROCHLORIDE/TRANYLCYPROMINE [VA Drug Interaction]"
"dexfenfluramine",4542,"phenelzine",4033,"Significant","DEXFENFLURAMINE HYDROCHLORIDE/PHENELZINE [VA Drug Interaction]"
"dexfenfluramine",4542,"isocarboxazid",4540,"Significant","DEXFENFLURAMINE HYDROCHLORIDE/ISOCARBOXAZID [VA Drug Interaction]"
"dexfenfluramine",4542,"selegiline",4286,"Significant","DEXFENFLURAMINE HYDROCHLORIDE/SELEGILINE [VA Drug Interaction]"
"vortioxetine",3871,"dexfenfluramine",4542,"Critical","DEXFENFLURAMINE HYDROCHLORIDE/VORTIOXETINE [VA Drug Interaction]"
"didanosine",4581,"zalcitabine",4399,"Significant","DIDANOSINE/ZALCITABINE (DIDEOXYCYTIDINE,ddC) [VA Drug Interaction]"
"cimetidine",4726,"choline theophyllinate",7336,"Critical","CIMETIDINE/OXTRIPHYLLINE [VA Drug Interaction]"
"ciprofloxacin",5645,"choline theophyllinate",7336,"Critical","CIPROFLOXACIN/OXTRIPHYLLINE [VA Drug Interaction]"
"clarithromycin",6969,"choline theophyllinate",7336,"Critical","CLARITHROMYCIN/OXTRIPHYLLINE [VA Drug Interaction]"
"theophylline",4245,"oleandomycin",6950,"Critical","AMINOPHYLLINE/OLEANDOMYCIN (AS TROLEANDOMYCIN) [VA Drug Interaction]"
"astemizole",6557,"oleandomycin",6950,"Critical","ASTEMIZOLE/OLEANDOMYCIN (AS TROLEANDOMYCIN) [VA Drug Interaction]"
"terfenadine",6619,"oleandomycin",6950,"Critical","OLEANDOMYCIN (AS TROLEANDOMYCIN)/TERFENADINE [VA Drug Interaction]"
"midazolam",5586,"oleandomycin",6950,"Significant","MIDAZOLAM/OLEANDOMYCIN (AS TROLEANDOMYCIN) [VA Drug Interaction]"
"triazolam",5756,"oleandomycin",6950,"Significant","OLEANDOMYCIN (AS TROLEANDOMYCIN)/TRIAZOLAM [VA Drug Interaction]"
"carbamazepine",4584,"oleandomycin",6950,"Significant","CARBAMAZEPINE/OLEANDOMYCIN (AS TROLEANDOMYCIN) [VA Drug Interaction]"
"cisapride",6588,"oleandomycin",6950,"Critical","CISAPRIDE/OLEANDOMYCIN (AS TROLEANDOMYCIN) [VA Drug Interaction]"
"ciclosporin",7073,"oleandomycin",6950,"Critical","CYCLOSPORINE/OLEANDOMYCIN (AS TROLEANDOMYCIN) [VA Drug Interaction]"
"ergotamine",6851,"oleandomycin",6950,"Critical","ERGOTAMINE TARTRATE/OLEANDOMYCIN (AS TROLEANDOMYCIN) [VA Drug Interaction]"
"alprazolam",5386,"oleandomycin",6950,"Significant","ALPRAZOLAM/OLEANDOMYCIN (AS TROLEANDOMYCIN) [VA Drug Interaction]"
"diazepam",5063,"oleandomycin",6950,"Significant","DIAZEPAM/OLEANDOMYCIN (AS TROLEANDOMYCIN) [VA Drug Interaction]"
"cilostazol",5999,"oleandomycin",6950,"Significant","CILOSTAZOL/OLEANDOMYCIN (AS TROLEANDOMYCIN) [VA Drug Interaction]"
"oleandomycin",6950,"pimozide",6572,"Critical","OLEANDOMYCIN (AS TROLEANDOMYCIN)/PIMOZIDE [VA Drug Interaction]"
"thiosalicylic acid",7696,"warfarin",5376,"Significant","SODIUM THIOSALICYLATE/WARFARIN [VA Drug Interaction]"
"anisindione",4723,"thiosalicylic acid",7696,"Critical","ANISINDIONE/SODIUM THIOSALICYLATE [VA Drug Interaction]"
"dicoumarol",5685,"thiosalicylic acid",7696,"Significant","DICUMAROL/SODIUM THIOSALICYLATE [VA Drug Interaction]"
"heparin",7066,"thiosalicylic acid",7696,"Significant","HEPARIN/SODIUM THIOSALICYLATE [VA Drug Interaction]"
"phenprocoumon",5012,"thiosalicylic acid",7696,"Critical","PHENPROCOUMON/SODIUM THIOSALICYLATE [VA Drug Interaction]"
"diltiazem",6338,"atazanavir",6955,"Significant","ATAZANAVIR SO4/DILTIAZEM [VA Drug Interaction]"
"atazanavir",6955,"tadalafil",6161,"Significant","ATAZANAVIR SO4/TADALAFIL [VA Drug Interaction]"
"atazanavir",6955,"tenofovir",5092,"Critical","ATAZANAVIR SO4/TENOFOVIR [VA Drug Interaction]"
"atazanavir",6955,"cimetidine",4726,"Significant","ATAZANAVIR SO4/CIMETIDINE [VA Drug Interaction]"
"atazanavir",6955,"esomeprazole",5777,"Critical","ATAZANAVIR SO4/ESOMEPRAZOLE [VA Drug Interaction]"
"atazanavir",6955,"famotidine",5696,"Significant","ATAZANAVIR SO4/FAMOTIDINE [VA Drug Interaction]"
"atazanavir",6955,"lansoprazole",5995,"Significant","ATAZANAVIR SO4/LANSOPRAZOLE [VA Drug Interaction]"
"atazanavir",6955,"nizatidine",5649,"Significant","ATAZANAVIR SO4/NIZATIDINE [VA Drug Interaction]"
"atazanavir",6955,"omeprazole",5776,"Critical","ATAZANAVIR SO4/OMEPRAZOLE [VA Drug Interaction]"
"atazanavir",6955,"rabeprazole",5907,"Critical","ATAZANAVIR SO4/RABEPRAZOLE [VA Drug Interaction]"
"atazanavir",6955,"ranitidine",5457,"Significant","ATAZANAVIR SO4/RANITIDINE [VA Drug Interaction]"
"atazanavir",6955,"ranitidine bismuth citrate",7690,"Significant","ATAZANAVIR SO4/RANITIDINE BISMUTH CITRATE [VA Drug Interaction]"
"atazanavir",6955,"rifampicin",7013,"Significant","ATAZANAVIR SO4/RIFAMPIN [VA Drug Interaction]"
"atazanavir",6955,"pantoprazole",6108,"Critical","ATAZANAVIR SO4/PANTOPRAZOLE [VA Drug Interaction]"
"atazanavir",6955,"delavirdine",6548,"Significant","ATAZANAVIR SO4/DELAVIRDINE MESYLATE [VA Drug Interaction]"
"atazanavir",6955,"sildenafil",6628,"Significant","ATAZANAVIR SO4/SILDENAFIL CITRATE [VA Drug Interaction]"
"atazanavir",6955,"vardenafil",6685,"Significant","ATAZANAVIR SO4/VARDENAFIL [VA Drug Interaction]"
"atazanavir",6955,"rifapentine",7031,"Significant","ATAZANAVIR SO4/RIFAPENTINE [VA Drug Interaction]"
"amiodarone",6920,"atazanavir",6955,"Significant","AMIODARONE/ATAZANAVIR SO4 [VA Drug Interaction]"
"atazanavir",6955,"indinavir",6894,"Critical","ATAZANAVIR SO4/INDINAVIR SULFATE [VA Drug Interaction]"
"atazanavir",6955,"erythromycin",6964,"Significant","ATAZANAVIR SO4/ERYTHROMYCIN [VA Drug Interaction]"
"atazanavir",6955,"erlotinib",6188,"Significant","ATAZANAVIR SO4/ERLOTINIB [VA Drug Interaction]"
"atazanavir",6955,"clarithromycin",6969,"Significant","ATAZANAVIR SO4/CLARITHROMYCIN [VA Drug Interaction]"
"atazanavir",6955,"didanosine",4581,"Significant","ATAZANAVIR SO4/DIDANOSINE [VA Drug Interaction]"
"atazanavir",6955,"efavirenz",5474,"Significant","ATAZANAVIR SO4/EFAVIRENZ [VA Drug Interaction]"
"atazanavir",6955,"irinotecan",6864,"Critical","ATAZANAVIR SO4/IRINOTECAN HYDROCHLORIDE [VA Drug Interaction]"
"atazanavir",6955,"pimozide",6572,"Critical","ATAZANAVIR SO4/PIMOZIDE [VA Drug Interaction]"
"atazanavir",6955,"fosamprenavir",6859,"Significant","ATAZANAVIR SO4/FOSAMPRENAVIR [VA Drug Interaction]"
"atazanavir",6955,"ranolazine",6419,"Critical","ATAZANAVIR SO4/RANOLAZINE [VA Drug Interaction]"
"atazanavir",6955,"sunitinib",6221,"Significant","ATAZANAVIR SO4/SUNITINIB [VA Drug Interaction]"
"atazanavir",6955,"maraviroc",6745,"Significant","ATAZANAVIR SO4/MARAVIROC [VA Drug Interaction]"
"atazanavir",6955,"atorvastatin",6821,"Critical","ATAZANAVIR SO4/ATORVASTATIN CALCIUM [VA Drug Interaction]"
"atazanavir",6955,"simvastatin",6371,"Critical","ATAZANAVIR SO4/SIMVASTATIN [VA Drug Interaction]"
"atazanavir",6955,"ethinylestradiol",5228,"Significant","ATAZANAVIR SO4/ETHINYL ESTRADIOL [VA Drug Interaction]"
"atazanavir",6955,"nevirapine",4871,"Significant","ATAZANAVIR SO4/NEVIRAPINE [VA Drug Interaction]"
"atazanavir",6955,"rifabutin",7026,"Significant","ATAZANAVIR SO4/RIFABUTIN [VA Drug Interaction]"
"atazanavir",6955,"ixabepilone",6732,"Significant","ATAZANAVIR SO4/IXABEPILONE [VA Drug Interaction]"
"atazanavir",6955,"etravirine",6462,"Critical","ATAZANAVIR SO4/ETRAVIRINE [VA Drug Interaction]"
"atazanavir",6955,"sirolimus",7037,"Significant","ATAZANAVIR SO4/SIROLIMUS [VA Drug Interaction]"
"atazanavir",6955,"temsirolimus",7183,"Significant","ATAZANAVIR SO4/TEMSIROLIMUS [VA Drug Interaction]"
